"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C44","C2012","35.6mm","30mm","35.6mm","30mm","35.6mm","29.05mm","B","90.00","10uF"
"C45","C2012","35.6mm","26.2mm","35.6mm","26.2mm","35.6mm","27.15mm","B","270.00","100nF"
"C51","C2012","67.5mm","40.1mm","67.5mm","40.1mm","67.5mm","41.05mm","T","270.00","1uF"
"D11","MLCC2","84.2mm","113mm","84.2mm","113mm","84.2mm","114.5mm","B","270.00","Green"
"D12","MLCC2","80mm","113mm","80mm","113mm","80mm","114.5mm","B","270.00","Green"
"D13","MLCC2","75.8mm","113mm","75.8mm","113mm","75.8mm","114.5mm","B","270.00","Green"
"D14","MLCC2","71.6mm","113mm","71.6mm","113mm","71.6mm","114.5mm","B","270.00","Green"
"D15","MLCC2","67.4mm","113mm","67.4mm","113mm","67.4mm","114.5mm","B","270.00","Green"
"D16","MLCC2","63.2mm","113mm","63.2mm","113mm","63.2mm","114.5mm","B","270.00","Green"
"D17","MLCC2","59mm","113mm","59mm","113mm","59mm","114.5mm","B","270.00","Green"
"D18","MLCC2","54.8mm","113mm","54.8mm","113mm","54.8mm","114.5mm","B","270.00","Green"
"D19","MLCC2","50.6mm","113mm","50.6mm","113mm","50.6mm","114.5mm","B","270.00","Green"
"D20","MLCC2","46.4mm","113mm","46.4mm","113mm","46.4mm","114.5mm","B","270.00","Green"
"R1","R2012","84.9mm","65.9mm","84.9mm","65.9mm","84.9mm","64.95mm","T","90.00","2k2"
"R2","R2012","84.9mm","69.7mm","84.9mm","69.7mm","84.9mm","68.75mm","T","90.00","2k2"
"R13","R2012","61.5mm","80.1mm","61.5mm","80.1mm","61.5mm","81.05mm","B","270.00","4k7"
"R16","R2012","6.5mm","59.6mm","6.5mm","59.6mm","6.5mm","60.55mm","T","270.00","2k2"
"R17","R2012","6.5mm","55.8mm","6.5mm","55.8mm","6.5mm","56.75mm","T","270.00","2k2"
"R18","R2012","13.7mm","35.9mm","13.7mm","35.9mm","13.7mm","36.85mm","B","270.00","470R"
"R19","R2012","15.7mm","35.9mm","15.7mm","35.9mm","15.7mm","36.85mm","B","270.00","470R"
"R20","R2012","17.7mm","35.9mm","17.7mm","35.9mm","17.7mm","36.85mm","B","270.00","470R"
"R21","R2012","19.7mm","35.9mm","19.7mm","35.9mm","19.7mm","36.85mm","B","270.00","470R"
"R22","R2012","21.7mm","35.9mm","21.7mm","35.9mm","21.7mm","36.85mm","B","270.00","470R"
